
graph resources/graph_datasets/DSJC125.9gb.edgelist:
    base color: 59
    best solution:
        time    = 2.316536
        colors  = 46
    avg values:
        time    = 155.568420
        colors  = 46.700001


0 30
0 51
0 90
1 57
1 59
1 121
2 3
2 113
2 123
3 9
3 55
3 114
4 10
4 100
4 105
5 22
5 50
5 87
6 1
6 106
7 72
7 84
7 107
7 115
8 28
8 69
8 112
9 11
9 53
9 67
10 46
10 78
10 91
11 74
11 101
12 8
12 93
12 99
13 24
13 92
13 116
14 25
14 47
14 88
15 27
15 54
15 94
16 18
16 40
16 83
17 85
17 95
17 117
18 19
18 21
18 96
19 31
19 32
19 33
20 23
20 49
20 110
21 20
21 26
21 79
22 4
22 6
22 61
23 42
23 63
23 109
24 56
24 82
25 73
25 104
25 118
26 68
26 75
26 86
27 12
27 38
28 29
28 102
28 120
29 36
29 41
29 125
30 39
30 43
31 70
31 122
32 48
32 81
32 89
33 45
33 76
33 124
34 14
34 35
34 52
35 7
35 34
36 5
36 103
36 108
37 2
37 15
37 111
38 58
38 98
39 37
39 64
39 71
40 44
40 66
41 77
41 119
42 13
42 60
42 62
43 16
43 65
44 80
44 97
45 17
