
graph resources/graph_datasets/queen10_10g.edgelist:
    base color: 15
    best solution:
<<<<<<< Updated upstream
        time    = 21.121635
        colors  = 12
    avg values:
        time    = 41.985176
        colors  = 12.300000


0 13
0 25
0 40
0 48
0 54
0 62
0 77
0 89
0 91
1 2
1 16
1 21
1 39
1 47
1 55
1 63
1 78
1 94
2 1
2 19
2 26
2 33
2 50
2 58
2 65
2 72
2 84
2 97
3 4
3 20
3 23
3 36
3 42
3 57
3 61
3 88
3 95
4 10
4 14
4 22
4 38
4 43
4 59
4 67
4 75
4 81
4 96
5 7
5 12
5 28
5 35
5 49
5 51
5 70
5 74
5 86
5 93
6 3
6 17
6 30
6 31
6 45
6 68
6 76
6 82
6 99
7 15
7 27
7 34
7 46
7 53
7 69
7 92
8 6
8 18
8 37
8 44
8 60
8 79
8 83
9 8
9 11
9 32
9 56
9 64
9 80
9 85
10 9
10 24
10 41
10 66
10 73
10 87
10 100
11 5
11 29
11 52
11 71
11 90
11 98
=======
        time    = 37.406693
        colors  = 12
    avg values:
        time    = 42.433662
        colors  = 12.400000


0 3
0 19
0 27
0 44
0 52
0 65
0 78
0 86
1 1
1 18
1 24
1 32
1 49
1 53
1 70
1 77
1 96
2 7
2 14
2 22
2 39
2 45
2 60
2 68
2 76
2 83
2 91
3 9
3 13
3 21
3 37
3 50
3 56
3 62
3 75
3 88
3 94
4 8
4 12
4 29
4 33
4 46
4 54
4 61
4 80
4 85
4 97
5 5
5 20
5 26
5 34
5 42
5 57
5 69
5 73
5 81
5 98
6 2
6 16
6 28
6 31
6 47
6 59
6 63
6 84
6 100
7 4
7 30
7 35
7 43
7 51
7 67
7 82
7 99
8 6
8 11
8 23
8 40
8 48
8 64
8 72
8 87
8 95
9 10
9 17
9 25
9 38
9 41
9 66
9 79
10 36
10 55
10 71
10 89
10 92
11 15
11 58
11 74
11 90
11 93
>>>>>>> Stashed changes
