
graph resources/graph_datasets/queen12_12g.edgelist:
    base color: 17
    best solution:
        time    = 4.556559
        colors  = 15
    avg values:
        time    = 58.346394
        colors  = 15.000000


0 7
0 13
0 27
0 45
0 54
0 64
0 82
0 96
0 101
0 110
0 128
1 8
1 14
1 35
1 39
1 55
1 70
1 76
1 93
1 108
1 113
1 133
2 1
2 22
2 41
2 59
2 62
2 84
2 91
2 100
2 116
2 141
3 10
3 19
3 26
3 40
3 49
3 69
3 83
3 90
3 99
3 120
3 137
4 11
4 20
4 28
4 43
4 60
4 63
4 78
4 105
4 125
4 134
5 9
5 18
5 25
5 46
5 56
5 65
5 74
5 88
5 107
5 115
5 132
5 135
6 4
6 33
6 58
6 68
6 75
6 85
6 103
6 119
6 122
6 138
7 23
7 29
7 57
7 66
7 80
7 87
7 97
7 127
7 142
8 2
8 16
8 34
8 48
8 53
8 71
8 73
8 102
8 117
8 123
8 140
9 17
9 32
9 47
9 52
9 72
9 79
9 86
9 106
9 111
9 126
10 5
10 21
10 30
10 37
10 51
10 67
10 94
10 104
10 124
10 144
11 12
11 15
11 42
11 61
11 77
11 92
11 98
11 112
11 130
12 3
12 24
12 31
12 50
12 95
12 118
12 121
12 136
13 6
13 36
13 38
13 81
13 89
13 109
13 131
13 139
14 44
14 114
14 129
14 143
