
graph resources/graph_datasets/queen11_11g.edgelist:
    base color: 17
    best solution:
        time    = 0.385030
        colors  = 14
    avg values:
        time    = 9.620286
        colors  = 14.000000


0 4
0 32
0 36
0 49
0 66
0 74
0 83
0 90
0 117
1 8
1 15
1 24
1 53
1 62
1 69
1 88
1 94
1 109
1 111
2 1
2 21
2 26
2 39
2 52
2 58
2 77
2 93
2 108
3 11
3 17
3 25
3 42
3 63
3 70
3 79
3 95
3 104
3 120
4 12
4 27
4 41
4 54
4 59
4 73
4 80
4 105
4 112
5 6
5 13
5 33
5 38
5 51
5 65
5 67
5 96
5 102
5 119
6 9
6 14
6 40
6 55
6 57
6 71
6 87
6 92
6 118
7 10
7 16
7 29
7 34
7 48
7 61
7 86
7 99
7 107
7 113
8 19
8 28
8 35
8 56
8 75
8 82
8 91
8 110
8 114
9 5
9 18
9 31
9 44
9 50
9 76
9 85
9 89
9 103
10 22
10 30
10 37
10 45
10 64
10 68
10 98
10 106
10 115
11 7
11 23
11 46
11 60
11 81
11 97
11 116
12 3
12 20
12 72
12 78
12 101
12 121
13 2
13 43
13 47
13 84
13 100
