
graph resources/graph_datasets/queen12_12g.edgelist:
    base color: 19
    best solution:
        time    = 5.523049
        colors  = 15
    avg values:
        time    = 73.601418
        colors  = 15.300000


0 16
0 36
0 41
0 56
0 66
0 83
0 87
0 97
0 115
0 129
0 134
1 8
1 14
1 28
1 48
1 55
1 71
1 78
1 101
1 109
1 141
2 12
2 18
2 32
2 37
2 52
2 81
2 95
2 99
2 118
2 127
3 9
3 17
3 27
3 46
3 60
3 80
3 85
3 100
3 114
3 143
4 2
4 19
4 33
4 47
4 53
4 73
4 90
4 108
4 111
4 128
4 136
5 20
5 40
5 57
5 61
5 82
5 89
5 103
5 110
5 132
5 135
6 1
6 21
6 35
6 39
6 70
6 74
6 88
6 102
6 116
6 137
7 5
7 22
7 25
7 42
7 59
7 63
7 84
7 91
7 105
7 112
7 122
7 140
8 4
8 31
8 45
8 54
8 62
8 77
8 94
8 104
8 123
8 144
9 3
9 13
9 34
9 38
9 69
9 76
9 96
9 119
9 125
9 139
10 11
10 29
10 43
10 50
10 72
10 75
10 92
10 117
10 126
10 142
11 7
11 24
11 30
11 44
11 58
11 64
11 93
11 98
11 131
11 133
12 10
12 26
12 51
12 67
12 107
12 113
12 121
12 138
13 6
13 23
13 49
13 65
13 79
13 106
13 120
13 124
14 15
14 68
14 86
14 130
