
graph resources/graph_datasets/queen9_9gb.edgelist:
    base color: 14
    best solution:
        time    = 0.432868
        colors  = 11
    avg values:
        time    = 5.431758
        colors  = 11.000000


0 13
0 24
0 28
0 41
0 47
0 70
0 75
1 1
1 18
1 20
1 32
1 43
1 57
1 69
1 76
2 4
2 16
2 27
2 33
2 39
2 46
2 62
2 68
2 74
3 7
3 11
3 22
3 36
3 37
3 53
3 59
3 66
3 78
4 5
4 12
4 26
4 31
4 38
4 54
4 60
4 64
4 79
5 17
5 23
5 34
5 45
5 51
5 56
6 6
6 10
6 21
6 35
6 49
6 63
6 77
7 9
7 29
7 42
7 48
7 61
7 67
7 80
8 8
8 15
8 19
8 30
8 52
8 58
8 65
8 81
9 2
9 14
9 25
9 40
9 55
9 71
10 3
10 44
10 50
10 72
10 73
