
graph resources/graph_datasets/queen12_12gb.edgelist:
    base color: 19
    best solution:
        time    = 37.538490
        colors  = 15
    avg values:
        time    = 132.966461
        colors  = 15.300000


0 4
0 13
0 34
0 38
0 57
0 80
0 87
0 107
0 115
0 125
0 144
1 21
1 30
1 40
1 50
1 71
1 77
1 91
1 97
1 120
1 140
2 20
2 29
2 47
2 49
2 66
2 76
2 96
2 103
2 111
2 130
2 134
3 5
3 23
3 25
3 54
3 63
3 82
3 86
3 105
3 124
3 139
4 2
4 19
4 35
4 37
4 56
4 72
4 81
4 88
4 118
4 126
4 135
5 7
5 17
5 26
5 58
5 64
5 83
5 93
5 99
5 114
5 128
5 133
6 9
6 16
6 36
6 41
6 51
6 70
6 79
6 95
6 104
6 110
6 138
7 10
7 27
7 42
7 52
7 67
7 84
7 101
7 116
7 121
7 141
8 14
8 32
8 39
8 59
8 69
8 73
8 90
8 100
8 127
8 137
9 6
9 15
9 44
9 53
9 62
9 94
9 108
9 109
9 143
10 8
10 18
10 48
10 55
10 61
10 75
10 89
10 106
10 112
10 129
11 1
11 22
11 31
11 68
11 78
11 98
11 113
11 132
11 136
12 11
12 28
12 45
12 60
12 65
12 74
12 92
12 123
12 142
13 3
13 24
13 33
13 43
13 85
13 102
13 119
13 122
14 12
14 46
14 117
14 131
