
graph resources/graph_datasets/queen11_11g.edgelist:
    base color: 17
    best solution:
        time    = 17.829866
        colors  = 14
    avg values:
        time    = 62.391571
        colors  = 14.000000


0 2
0 15
0 31
0 40
0 47
0 66
0 72
0 78
0 93
0 109
0 118
1 4
1 17
1 32
1 51
1 58
1 79
1 96
1 104
1 119
2 10
2 29
2 35
2 48
2 74
2 88
2 97
2 102
2 116
3 1
3 33
3 41
3 46
3 64
3 69
3 92
3 115
4 8
4 13
4 27
4 36
4 55
4 59
4 76
4 94
4 100
4 117
5 7
5 12
5 28
5 42
5 49
5 63
5 77
5 80
5 98
5 101
5 114
6 3
6 18
6 44
6 56
6 71
6 85
6 90
6 103
6 120
7 11
7 16
7 25
7 34
7 50
7 65
7 84
7 107
7 112
8 5
8 20
8 24
8 39
8 52
8 67
8 81
8 95
8 110
8 113
9 6
9 22
9 23
9 38
9 53
9 57
9 87
9 91
9 106
10 9
10 14
10 54
10 73
10 82
10 99
10 105
10 111
11 21
11 30
11 37
11 62
11 68
11 83
11 89
11 108
12 26
12 43
12 45
12 60
12 75
12 121
13 19
13 61
13 70
13 86
