
graph resources/graph_datasets/DSJC125.9gb.edgelist:
    base color: 59
    best solution:
        time    = 0.118839
        colors  = 47
    avg values:
        time    = 249.283859
        colors  = 47.799999


0 18
0 40
0 83
1 5
1 98
1 100
2 85
2 95
2 117
3 10
3 17
3 124
4 6
4 7
4 80
5 8
5 22
5 50
6 24
6 72
6 107
7 43
7 90
7 125
8 57
8 71
8 77
9 14
9 30
9 111
10 48
10 81
10 89
11 9
11 55
11 114
12 58
12 94
12 96
13 73
13 104
13 118
14 53
14 67
14 119
15 44
15 66
16 3
16 113
16 123
17 56
17 65
18 75
18 106
19 25
19 47
19 88
20 2
20 51
20 93
21 12
21 38
21 61
22 37
22 69
22 74
23 21
23 29
23 121
24 20
24 36
24 45
25 42
25 64
25 109
26 62
26 63
26 103
27 23
27 35
27 59
28 4
28 41
28 116
29 19
29 84
29 115
30 31
30 112
31 32
31 33
31 54
32 46
32 78
32 91
33 11
33 86
33 87
34 52
34 70
35 108
35 110
36 13
36 102
37 26
37 60
37 97
38 101
38 105
39 76
39 92
40 120
40 122
41 1
41 27
41 68
42 49
42 99
43 15
43 39
44 16
44 28
45 79
46 34
46 82
