
graph resources/graph_datasets/DSJC125.9g.edgelist:
    base color: 55
    best solution:
        time    = 400.649689
        colors  = 46
    avg values:
        time    = 373.577789
        colors  = 47.099998


0 32
0 82
1 1
1 27
1 68
2 12
2 38
2 61
3 29
3 102
3 120
4 58
4 94
4 96
5 4
5 15
5 39
6 22
6 50
6 87
7 18
7 40
7 83
8 46
8 78
8 91
9 3
9 88
9 90
10 11
10 80
10 99
11 85
11 95
11 117
12 48
12 81
12 89
13 28
13 69
13 112
14 16
14 73
14 106
15 36
15 55
15 62
16 53
16 67
16 119
17 49
17 52
17 105
18 57
18 66
19 70
19 92
19 98
20 13
20 60
20 116
21 10
21 17
21 123
22 6
22 59
22 121
23 5
23 23
23 33
23 103
24 7
24 34
24 86
25 74
25 101
26 9
26 114
27 56
27 65
28 37
28 111
29 43
29 84
29 125
30 14
30 35
30 64
31 75
31 104
31 113
32 108
32 110
33 100
33 122
34 71
34 72
34 77
35 20
35 26
35 79
36 24
36 25
36 31
37 8
37 93
37 97
38 41
38 76
39 42
39 63
39 109
40 44
40 115
40 118
41 2
41 51
42 19
42 21
43 30
43 54
44 47
44 107
45 45
45 124
