
graph resources/graph_datasets/queen10_10gb.edgelist:
    base color: 15
    best solution:
        time    = 21.346375
        colors  = 12
    avg values:
        time    = 28.228756
        colors  = 12.400000


0 7
0 21
0 35
0 49
0 56
0 64
0 72
0 88
0 93
1 4
1 17
1 23
1 38
1 42
1 55
1 69
1 76
1 81
2 9
2 16
2 24
2 32
2 47
2 53
2 70
2 78
2 85
2 91
3 1
3 15
3 28
3 40
3 44
3 57
3 63
3 86
3 92
4 2
4 14
4 29
4 37
4 43
4 60
4 66
4 71
4 95
5 8
5 13
5 36
5 41
5 59
5 75
5 82
5 100
6 5
6 20
6 22
6 48
6 54
6 61
6 73
6 89
6 96
7 6
7 19
7 45
7 52
7 68
7 80
7 83
7 97
8 3
8 18
8 26
8 39
8 51
8 65
8 77
8 90
8 94
9 10
9 25
9 33
9 67
9 79
9 84
9 98
10 12
10 30
10 31
10 46
10 74
10 87
10 99
11 11
11 27
11 34
11 50
11 58
11 62
