
graph resources/graph_datasets/queen9_9g.edgelist:
    base color: 14
    best solution:
        time    = 0.665803
        colors  = 11
    avg values:
        time    = 3.351502
        colors  = 11.000000


0 8
0 15
0 21
0 34
0 38
0 49
0 63
0 77
1 12
1 27
1 31
1 44
1 50
1 56
1 69
1 73
2 5
2 17
2 22
2 28
2 43
2 47
2 60
2 66
2 81
3 7
3 13
3 19
3 30
3 51
3 62
3 68
3 74
4 3
4 10
4 26
4 45
4 52
4 59
4 65
4 78
5 4
5 16
5 23
5 29
5 42
5 46
5 57
5 71
6 1
6 18
6 25
6 32
6 39
6 53
6 67
7 2
7 24
7 36
7 41
7 58
7 70
7 75
8 14
8 20
8 33
8 37
8 48
8 72
8 76
9 6
9 11
9 35
9 40
9 54
9 55
9 79
10 9
10 61
10 64
10 80
