
graph resources/graph_datasets/DSJC125.1gb.edgelist:
    base color: 9
    best solution:
        time    = 39.638641
        colors  = 5
    avg values:
        time    = 9.460215
        colors  = 5.800000


0 3
0 7
0 8
0 9
0 12
0 13
0 17
0 26
0 36
0 48
0 50
0 53
0 59
0 67
0 71
0 75
0 76
0 78
0 81
0 89
0 92
0 97
0 106
0 107
0 108
0 114
0 118
0 120
0 124
0 125
1 5
1 11
1 24
1 33
1 37
1 38
1 41
1 42
1 44
1 46
1 54
1 57
1 58
1 68
1 69
1 70
1 72
1 74
1 85
1 95
1 98
1 105
1 115
1 117
1 123
2 1
2 4
2 14
2 15
2 16
2 23
2 27
2 28
2 32
2 47
2 49
2 56
2 63
2 65
2 73
2 77
2 82
2 83
2 91
2 102
2 109
2 111
2 119
2 121
2 122
3 6
3 18
3 19
3 20
3 21
3 22
3 25
3 30
3 31
3 40
3 43
3 51
3 52
3 62
3 64
3 79
3 87
3 88
3 93
3 94
3 96
3 99
3 100
3 101
3 103
3 104
3 110
3 112
3 116
4 2
4 10
4 29
4 34
4 35
4 39
4 45
4 55
4 60
4 61
4 66
4 80
4 84
4 86
4 90
4 113
