
graph resources/graph_datasets/queen8_8gb.edgelist:
    base color: 12
    best solution:
        time    = 9.518243
        colors  = 9
    avg values:
        time    = 6.450644
        colors  = 9.700000


0 6
0 10
0 23
0 25
0 36
0 48
0 53
0 59
1 4
1 15
1 21
1 27
1 33
1 46
1 56
1 58
2 3
2 14
2 18
2 29
2 40
2 41
2 55
2 60
3 5
3 9
3 24
3 28
3 34
3 47
3 51
3 62
4 1
4 16
4 20
4 31
4 35
4 50
4 61
5 8
5 13
5 19
5 30
5 42
5 52
5 63
6 11
6 22
6 26
6 39
6 45
6 49
6 64
7 2
7 12
7 17
7 32
7 37
7 43
7 54
8 7
8 38
8 44
8 57
